,0,1,2,5,6,7,8,Body_type,Body_type_id,Skin_condition_level
199,200,1,31,11,10,6,11,rectangle,7,3
200,201,1,25,13,11,10,14,rectangle,7,1
201,202,1,4,16,15,14,15,rectangle,7,1
202,203,1,27,21,19,21,22,rectangle,7,1
203,204,1,2,10,9,9,10,rectangle,7,3
204,205,1,9,15,16,15,16,rectangle,7,1
205,206,1,60,20,23,30,34,round,5,3
206,207,2,18,18,15,16,18,rectangle,7,3
207,208,2,4,12,10,9,10,rectangle,7,2
208,209,1,22,20,18,21,22,rectangle,7,2
209,210,2,2,13,9,9,10,rectangle,7,2
210,211,1,24,10,9,21,11,rectangle,7,1
211,212,1,19,9,10,9,12,rectangle,7,2
212,213,1,15,8,8,11,15,round,5,2
213,214,2,19,11,9,10,13,rectangle,7,2
214,215,2,3,7,7,10,9,rectangle,7,2
215,216,1,4,9,8,11,9,rectangle,7,2
216,217,1,8,11,9,8,13,rectangle,7,2
217,218,1,16,9,9,10,12,rectangle,7,3
218,219,1,21,10,10,13,13,rectangle,7,2
219,220,1,32,11,12,12,12,rectangle,7,2
220,221,1,14,10,10,11,12,rectangle,7,2
221,222,1,7,10,8,12,12,rectangle,7,2
222,223,1,4,11,10,10,10,rectangle,7,3
223,224,1,29,12,11,12,15,rectangle,7,1
224,225,1,28,14,12,10,16,rectangle,7,3
225,226,1,35,15,14,14,15,rectangle,7,1
226,227,1,30,12,13,15,15,rectangle,7,2
227,228,2,24,15,12,13,15,rectangle,7,3
228,229,1,30,12,29,32,16,round,5,3
229,230,2,3,10,22,37,23,round,5,1
230,231,1,20,16,30,37,28,round,5,3
231,232,1,34,17,34,41,24,round,5,3
232,233,1,35,18,37,28,24,round,5,1
233,234,1,12,12,27,33,27,round,5,1
234,235,1,30,15,29,26,20,round,5,3
235,236,1,15,11,23,23,15,round,5,3
236,237,1,18,15,28,34,28,round,5,3
237,238,1,17,13,28,25,28,round,5,3
238,239,1,10,9,25,42,26,round,5,1
239,240,1,25,17,37,42,28,round,5,1
240,241,1,32,16,37,36,8,invertedtriangle,6,1
241,242,1,34,17,32,38,24,round,5,1
242,243,1,37,18,36,38,37,round,5,3
243,244,2,1,16,13,13,14,rectangle,7,1
244,245,1,1,17,12,13,15,rectangle,7,3
245,246,2,3,15,13,12,14,rectangle,7,3
246,247,1,4,18,14,14,17,rectangle,7,2
247,248,1,3,20,20,22,20,rectangle,7,3
248,249,2,2,15,13,12,14,rectangle,7,1
249,250,2,1,16,13,12,15,rectangle,7,2
250,251,1,4,22,20,21,22,rectangle,7,2
251,252,2,3,20,20,21,22,rectangle,7,1
252,253,2,4,21,20,23,24,rectangle,7,1
253,254,1,5,20,19,18,20,rectangle,7,2
254,255,2,6,19,17,16,18,rectangle,7,1
255,256,2,7,19,17,16,18,rectangle,7,1
256,257,1,8,26,23,26,27,rectangle,7,2
257,258,2,9,26,21,20,22,invertedtriangle,6,2
258,259,1,10,27,24,23,24,rectangle,7,2
259,260,2,11,27,28,25,28,rectangle,7,1
260,261,2,12,28,24,25,27,rectangle,7,1
261,262,1,13,27,23,24,27,rectangle,7,1
262,263,2,19,31,28,28,28,rectangle,7,1
263,264,1,20,28,21,26,28,rectangle,7,3
264,265,1,21,28,23,25,27,rectangle,7,2
265,266,2,22,19,28,22,26,round,5,3
266,267,2,23,28,23,25,26,rectangle,7,2
267,268,1,24,28,23,24,26,rectangle,7,1
268,269,2,25,37,28,26,27,rectangle,7,3
269,270,1,26,38,27,28,27,rectangle,7,2
270,271,1,27,31,30,32,38,round,5,3
271,272,2,20,32,28,32,32,rectangle,7,1
272,273,1,1,15,13,12,14,rectangle,7,2
273,274,2,1,16,13,13,15,rectangle,7,1
274,275,1,4,22,21,21,20,rectangle,7,3
275,276,2,4,23,22,24,24,rectangle,7,2
276,277,1,1,21,20,22,20,rectangle,7,2
277,278,1,3,22,21,22,20,rectangle,7,2
278,279,1,3,20,20,22,20,rectangle,7,1
279,280,2,1,16,13,12,14,rectangle,7,1
280,281,2,3,20,21,23,21,rectangle,7,2
281,282,2,4,22,20,21,22,rectangle,7,2
282,283,1,5,18,17,16,18,rectangle,7,1
283,284,2,6,19,18,19,15,invertedtriangle,6,2
284,285,2,7,19,20,20,22,rectangle,7,1
285,286,1,8,20,22,21,20,rectangle,7,1
286,287,1,9,22,20,23,22,rectangle,7,3
287,288,2,10,26,23,27,26,rectangle,7,2
288,289,1,11,28,24,24,25,rectangle,7,1
289,290,2,12,17,25,24,26,round,5,3
290,291,2,13,27,25,24,28,rectangle,7,2
291,292,1,15,28,24,24,25,rectangle,7,2
292,293,1,17,29,28,27,28,rectangle,7,2
293,294,2,17,29,28,28,29,rectangle,7,1
294,295,1,18,28,28,27,28,rectangle,7,3
295,296,2,18,28,28,27,28,rectangle,7,2
296,297,1,20,28,26,28,28,rectangle,7,3
297,298,2,20,29,27,27,28,rectangle,7,1
298,299,1,21,38,27,28,27,rectangle,7,2
299,300,2,21,32,28,31,31,rectangle,7,3
300,301,1,21,31,30,32,26,invertedtriangle,6,2
301,302,1,1,15,13,12,14,rectangle,7,3
302,303,2,1,16,13,13,15,rectangle,7,2
303,304,1,1,17,12,13,15,rectangle,7,3
304,305,1,1,17,13,14,16,rectangle,7,3
305,306,2,1,18,14,14,17,rectangle,7,3
306,307,2,5,19,17,16,18,rectangle,7,2
307,308,1,5,20,18,16,18,rectangle,7,3
308,309,1,5,20,19,18,20,rectangle,7,2
309,310,1,10,25,22,26,24,rectangle,7,2
310,311,2,10,25,23,27,26,rectangle,7,1
311,312,2,10,26,23,26,27,rectangle,7,2
312,313,1,9,26,21,23,29,rectangle,7,3
313,314,1,11,26,21,20,22,invertedtriangle,6,3
314,315,2,11,27,24,23,24,rectangle,7,1
315,316,1,11,28,27,26,28,rectangle,7,1
316,317,1,12,28,26,25,27,rectangle,7,3
317,318,1,12,27,28,25,28,rectangle,7,2
318,319,2,12,28,28,25,27,rectangle,7,1
319,320,1,13,27,22,25,27,rectangle,7,3
320,321,1,14,28,23,25,27,rectangle,7,2
321,322,2,19,30,25,26,29,rectangle,7,2
322,323,1,17,30,26,26,29,rectangle,7,1
323,324,1,19,31,28,28,29,rectangle,7,2
324,325,2,18,32,28,27,29,rectangle,7,2
325,326,1,19,31,26,26,29,rectangle,7,3
326,327,1,19,28,23,25,27,rectangle,7,2
327,328,2,20,28,21,26,28,rectangle,7,3
328,329,1,20,28,22,25,26,rectangle,7,2
329,330,1,22,27,28,26,28,rectangle,7,1
330,331,1,2,8,19,18,20,round,5,1
331,332,2,2,9,20,19,21,round,5,3
332,333,1,3,11,19,12,11,rectangle,7,3
333,334,2,4,10,7,16,10,rectangle,7,3
334,335,2,4,10,20,20,20,round,5,3
